month,smb,hml,umd,rf,rm,rmrf
1996m1,.01639952,-.00401987,.00839753,.0048534065,.0244951963,.01964179
1996m2,.02423791,-.0034403,.00031503,.0048115384,.0017014458,-.00311009
1996m3,.02050945,.0000492,-.0001964,.0047110624,.0089397225,.00422866
1996m4,.0343858,-.00213345,.0074846,.0047026897,.0432073949,.03850471
1996m5,.0223232,-.03041166,.02853337,.0047361803,-.0121258815,-.01686206
1996m6,-.00768149,.00080748,.02481751,.0045268823,-.0120270893,-.01655397
1996m7,-.02892928,.01255261,-.01907156,.0044850278,-.007471945,-.01195697
1996m8,-.00966471,-.01035277,.03555879,.0044850278,.0500103267,.0455253
1996m9,-.01084994,-.00385923,.01868775,.0045101403,.0187740576,.01426392
1996m10,.01289189,-.01119855,.02075985,.0045771098,.0080320859,.00345498
1996m11,-.02653149,.01577872,-.00907858,.0049706463,.0167385453,.0117679
1996m12,-.00800233,.02275356,.00359592,.0049957707,.0173487723,.012353
1997m1,.0377027,.00190699,.02752456,.0048115384,.0377967937,.03298526
1997m2,.00635043,-.00211349,-.01888347,.004752926,.0117687124,.00701579
1997m3,-.02129368,.0082016,-.00443619,.0048952763,.0026033829,-.00229189
1997m4,-.0174824,.00523873,.02614582,.0049706463,.0214263158,.01645567
1997m5,-.03461551,.02006578,.03133319,.0050376465,.0338606521,.02882301
1997m6,-.02402757,.01391284,.02038352,.0051967899,-.0038924048,-.00908919
1997m7,-.05897541,.01734457,.02461214,.0053727149,.0505354642,.04516275
1997m8,.0393677,.00481507,-.0170447,.0055905692,-.0039920108,-.00958258
1997m9,-.02328342,-.01750294,-.00999152,.0055738092,.0810145517,.07544074
1997m10,.0331006,.01383093,.02844931,.0055738092,-.0647112744,-.07028508
1997m11,-.02206685,-.00285998,.00865554,.0057581813,-.0008995951,-.00665778
1997m12,-.02052638,-.0322026,.04394267,.0056576107,.0555901552,.04993254
1998m1,-.04332201,-.02454948,.10614595,.0054397419,.0527439049,.04730416
1998m2,.0080347,-.00758985,-.01333361,.0055821892,.0593971296,.05381494
1998m3,.02238407,.02363676,.00272488,.0055905692,.0426859205,.03709535
1998m4,.00290217,-.0026399,-.01130474,.0056576107,.0047110623,-.00094655
1998m5,.05001603,-.00023591,.01423404,.0056743721,.0063198867,.00064551
1998m6,-.06130667,-.00460274,.04921313,.0059342049,-.0188206372,-.02475484
1998m7,-.03880544,-.02784954,.05312242,.0058839092,-.0023971224,-.00828103
1998m8,-.04359075,-.00925643,.02358128,.0058419982,-.1038074594,-.10964946
1998m9,-.0449051,.05127753,-.04824716,.005464878,-.036998203,-.04246308
1998m10,-.03151061,.01900481,-.06108784,.0053056924,.069723283,.06441759
1998m11,-.0196054,-.03440394,.07332896,.0050543972,.0505354642,.04548107
1998m12,-.0101897,-.06970478,.07223305,.0045436245,.019181648,.01463802
1999m1,.02479726,-.03487452,.0145297,.0042757817,.0086370865,.0043613
1999m2,.03132584,.01712497,-.04105298,.0040833142,.0496953733,.04561206
1999m3,.04305475,.02459211,-.03902526,.0039912774,.0308667987,.02687552
1999m4,.03561436,.1019367,-.11019797,.0039996439,.0484364926,.04443685
1999m5,.01401033,.00439692,.01112649,.0040247443,-.0443848417,-.04840959
1999m6,.01161153,.01128975,.00556448,.00384069,.0214263158,.01758563
1999m7,.04907501,-.00603185,.0239819,.0039578117,-.0063795635,-.01033738
1999m8,.03187806,.01279457,-.02979126,.0039494452,.0088388338,.00488939
1999m9,.01727585,-.05306601,.01739799,.0042172009,-.0366129259,-.04083013
1999m10,-.00758361,-.09705798,.04598211,.004259044,.0286013847,.02434234
1999m11,.06421431,-.17749656,.15839447,.0043008891,.0642815817,.05998069
1999m12,.01350967,-.04219196,.10257912,.004560367,.051691689,.04713132
2000m1,.09790834,-.10306514,.070585,.0046524559,-.0815795646,-.08623202
2000m2,.07553458,-.18607596,.16044239,.0047445533,.0069238598,.00217931
2000m3,-.09995517,.09889092,-.17926813,.0047445533,.0442511222,.03950657
2000m4,-.06567943,.11660999,-.14914489,.0048366591,-.0328483776,-.03768504
2000m5,-.04354602,.09164516,-.1221183,.004752926,.0068231726,.00207025
2000m6,.04320674,.00760184,.03916488,.0047445533,.0053140697,.00056952
2000m7,.01822574,-.04176324,.04347947,.0047445533,.0118698951,.00712534
2000m8,.02790986,-.04059832,.06469922,.0047864186,.0517968652,.04701045
2000m9,.00037147,.03674263,-.01092599,.0047110624,-.0542717358,-.0589828
2000m10,-.05437952,.11519734,-.1063232,.0047110624,.0171453233,.01243426
2000m11,-.00505359,.12287354,-.10165718,.0045938528,-.0418970102,-.04649086
2000m12,.03022049,.00298948,.00774869,.004560367,.0149100623,.0103497
2001m1,.03780433,.03916188,-.05589112,.0044682865,.0161286862,.0116604
2001m2,.02586574,.03819804,.13279682,.0043845841,-.0507660604,-.05515064
2001m3,-.03687062,.1047535,.09962123,.0041837273,-.0505761949,-.05475992
2001m4,-.00103189,.01649718,-.02805002,.0041837273,.0604570548,.05627333
2001m5,.04301921,.0027151,.07827115,.0040331113,-.0180353809,-.02206849
2001m6,-.00561129,.05436692,.09768777,.004100049,-.0281948911,-.03229494
2001m7,-.03399317,.03334584,.00744433,.0040582123,-.0227375163,-.02679573
2001m8,.05031554,.04018429,.07492208,.0031382473,-.0233236987,-.02646195
2001m9,-.10956103,.07436312,.08094919,.0034894072,-.0942572915,-.0977467
2001m10,.0578379,.01609105,-.06684656,.0033639789,.0324142585,.02905028
2001m11,.05913965,.04917253,-.09342294,.0030880917,.0436247606,.04053667
2001m12,.01156102,-.00669446,.02871438,.0031382473,.00451014,.00137189
2002m1,-.00211076,-.04974636,.11057887,.0031549664,-.0104450673,-.01360003
2002m2,-.01867002,-.0257839,.09456075,.0032134855,-.0080672836,-.01128077
2002m3,.01105282,.02505855,.00916763,.0032720081,.041956295,.03868429
2002m4,.05192905,.00996785,.06437925,.003255287,-.0155773969,-.01883268
2002m5,.01572975,.03194981,.05708126,.0034141483,-.0122246638,-.01563881
2002m6,-.00865404,-.00755327,.0611067,.0032218458,-.0842391228,-.08746097
2002m7,-.02920707,.05916464,.03151902,.0032720081,-.092262464,-.09553447
2002m8,-.00991308,.03528872,.06384053,.003129888,.003305451,.00017556
2002m9,.00487316,-.03283896,.09766731,.0030880917,-.1175913442,-.12067944
2002m10,-.06264102,.04946824,.00894487,.0030964507,.0778841541,.0747877
2002m11,.0182853,.05398571,-.11093252,.0031382473,.0354126061,.03227436
2002m12,-.0051369,-.00827031,.07016455,.003146607,-.0534202004,-.05656681
